gene_symb,GF_mean,GF_std,SCFA_mean,SCFA_std,log2FC,is_GF_all_zero,is_SCFA_all_zero,gene_type,pvalue,padj,reject_null
Sh3glb2,80.13333333333334,44.19938084834575,85.66786666666667,35.751890427151636,-2.73226919950145,False,True,GF_specific_medium,0.0286493693301821,0.03,True
Nkx2-9,2.333333333333333,0.5773502691896258,0.0,0.0,-1.7369655941662063,False,True,GF_specific_low,0.0434778933703596,0.04,True
Irf3,191.62599999999998,68.64541668264593,249.10666666666663,15.542574154921237,-4.713072565003415,False,True,GF_specific_high,0.0440240147241595,0.04,True
Acot8,52.00599999999999,20.90762535931223,53.034555555555556,14.305475344041009,-1.4478436443620857,False,True,GF_specific_low,0.0415024738366094,0.04,True
Nr4a2,26.889,16.372877695752724,33.014333333333326,10.220735798767187,-5.658316229084151,False,True,GF_specific_high,0.0304580060268393,0.03,True
Chid1,59.407583333333335,20.345082295905005,54.37266666666667,59.42694989829053,-1.730313886293776,False,True,GF_specific_low,0.0096129346738053,0.01,True
Pex1,65.5,24.302977271950205,75.16666666666667,9.928914005737653,2.603319030448803,False,True,high_in_SCFA,0.00377750308561,0.0,True
Entpd4,155.15883333333332,61.498461908478944,228.79433333333333,39.34941868925438,-1.8125768849283648,False,False,high_in_GF,0.0049947098320601,0.0,True
Syngap1,25.133333333333333,15.105058183665808,32.871066666666664,16.590343502807933,-3.282785733563587,False,True,GF_specific_medium,0.0213577846087039,0.02,True
Clec4b1,8.166666666666668,3.3770924914722835,9.833333333333334,5.033222956847166,-3.4463003483293737,False,True,GF_specific_medium,0.0169265290422575,0.02,True
Ifnar1,32.11111111111111,17.4815838172999,39.77777777777778,6.5520447658428465,-1.2287673937602577,False,True,high_in_GF,0.0174679987248947,0.02,True
Gm1673,10.333555555555556,2.9362131058542142,9.444444444444443,6.365863664351772,-2.023491937253423,False,True,GF_specific_low,0.0178497921746182,0.02,True
Impdh1,192.59906666666666,54.36612103354141,206.01533333333333,75.24632991085053,-1.4331375067814107,False,True,high_in_SCFA,0.015511316424347,0.02,True
Phkg1,23.833333333333336,15.58865345149267,55.01283333333334,82.7914684256979,-2.815507117821063,False,True,GF_specific_medium,0.05,0.05,False
Hip1r,143.80422222222222,52.78970808041996,231.4004444444444,29.576169246939187,-4.046549265065277,False,True,GF_specific_medium,0.0455660391709229,0.05,True
Kif24,9.833333333333334,2.081665999466133,13.166666666666664,4.041451884327381,-4.369233809665719,False,True,SCFA_specific_high,0.0290100620560196,0.03,True
Adamts10,237.4188,141.84049930581276,232.7594,86.48732008437479,-1.364385663567407,False,True,GF_specific_low,0.05,0.05,False
Zfp738,4.961222222222222,2.538549209475263,5.1947777777777775,4.610974680809828,-2.587184942883201,False,False,GF_specific_medium,0.05,0.05,False
Serpina1e,9.256333333333332,2.613806674819952,0.7163333333333334,0.620435599666342,-2.57911338124488,False,False,high_in_GF,0.0247084334696981,0.02,True
Ccser1,29.555555555555554,6.255542614066724,34.11988888888889,12.019351096067908,-1.2801792128930125,False,False,high_in_GF,0.0004136212271291,0.0,True
Unc79,25.7334,21.861216526623974,28.19793333333333,12.874138441435608,-6.365989918940319,False,True,GF_specific_high,0.05,0.05,False
Ccdc114,105.66822222222224,54.78022938534151,129.10533333333333,21.93207018422746,1.452125817394492,False,True,high_in_SCFA,0.016507780091868,0.02,False
Gja6,3.6666666666666665,0.5773502691896258,1.0,0.0,-1.222392421336448,False,False,GF_specific_low,0.0181384435933625,0.02,True
Angpt4,39.66666666666666,7.023769168568493,23.33366666666667,2.081826201519554,-0.7408930158724646,False,False,high_in_GF,0.0468882141937231,0.05,True
Pnmal1,1.6666666666666667,0.5773502691896257,0.0,0.0,-1.415037499278844,False,True,high_in_GF,0.0377495513506237,0.04,True
Kcnn2,9.222222222222221,3.405756788286597,4.777777777777778,3.1338040699742695,-2.007724923776625,False,False,non_specific,0.0516720597000273,0.05,False
Spin2c,10.666666666666666,1.1547005383792517,2.333333333333333,0.5773502691896258,-1.807354922057604,False,False,high_in_GF,0.001678241664107,0.0,True
Wdr25,6.8334166666666665,4.701000226577037,6.167833333333334,4.856871978868537,-2.422326968528381,False,False,high_in_GF,0.0224491572578431,0.02,True
Fcgbp,98.20333333333332,21.1277431433964,139.42283333333333,183.79470966116102,-3.5801906647880277,False,False,high_in_GF,0.0059463757703002,0.01,True
Fnbp1,13.77837037037037,11.543878262511031,12.556222222222223,10.074527200746267,-4.369652595824476,False,True,GF_specific_medium,0.05,0.05,False
Igkv6-25,3.0,1.7320508075688772,0.0,0.0,-2.0,False,True,GF_specific_low,0.05,0.05,False
Slc38a10,178.89166666666668,100.71954521252962,191.03216666666668,82.76096633059795,-1.8212904983753688,False,False,high_in_GF,0.0204064166446029,0.02,True
Reep2,16.666666666666668,5.507570547286102,9.666666666666666,1.1547005383792517,-0.7279204545631992,False,False,non_specific,0.153651895166469,0.15,False
4930550C14Rik,15.166666666666664,4.469379163122263,18.340666666666667,8.091690328918677,-0.4814057769081372,False,False,non_specific,0.1886058308599763,0.19,False
Bdh2,7.166666666666667,1.2583057392117916,6.5,8.820774246947789,-2.3536369546147005,False,False,high_in_GF,0.0095477997827491,0.01,True
Mylk4,2.6666666666666665,1.6751202962713776,8.555555555555555,14.62620681947052,-2.0961943727599333,False,False,GF_specific_medium,0.05,0.05,False
Ctse,1.8333333333333333,0.2886751345948129,1.3333333333333333,2.0207259421636903,-1.4854268271702418,False,False,GF_specific_low,0.0181384435933625,0.02,True
Zup1,64.22444444444444,21.820721839259367,56.572,15.374880121214408,-1.978132677089732,False,False,high_in_GF,0.0029423935875825,0.0,True
Gm49396,15.057666666666668,3.537000471209092,7.749,1.5241190898351749,-0.8760722374245054,False,False,non_specific,0.0532215609157775,0.05,False
Morn2,111.83333333333333,21.451648965904376,98.24983333333333,12.596258339726385,-0.3115744128250614,False,False,non_specific,0.0889014992697292,0.09,False
Ifitm6,20.333333333333336,1.8813219989082177,11.166666666666666,6.767166362951137,-1.0692079991122472,False,False,high_in_GF,0.0230266179439909,0.02,True
Rgs3,74.39861904761904,35.34538889356235,77.934,18.066515316421867,-1.4309398072247743,False,False,high_in_GF,0.0440019686355448,0.04,True
Depdc1a,9.666666666666668,5.702303195096314,7.648833333333334,1.5748370245141956,-0.6919428286897477,False,False,non_specific,0.0775261717888442,0.08,False
Ift122,143.36616666666666,49.1248145431551,160.59916666666666,29.740424513780297,-1.6421714790259516,False,False,high_in_GF,0.0113365499800879,0.01,True
Acy1,16.611166666666666,15.941138334456825,16.278055555555557,20.88069644533935,-1.420119466527925,False,False,high_in_GF,0.018832957048663,0.02,True
Vmn2r57,2.0,0.5,0.6666666666666666,1.1547005383792517,-1.5849625007211563,False,False,high_in_GF,0.0201689290502125,0.02,True
Gm14391,8.203416666666666,8.45642617346001,10.684999999999999,13.376937099579532,-1.743896470775646,False,False,high_in_GF,0.010117883072762,0.01,True
Zfp638,80.09108333333333,29.867438445472793,93.683125,17.70367037271579,-1.4635841811259651,False,False,non_specific,0.0565614515444599,0.06,False
Hes7,2.6666666666666665,0.5773502691896258,0.6666666666666666,0.5773502691896258,-1.137503523749935,False,False,GF_specific_low,0.0250428203370451,0.03,True
Lias,105.53566666666667,21.14869490911468,134.54166666666666,51.194395807525126,-0.6904558870281216,False,False,high_in_GF,0.0174376343952271,0.02,True
Krtcap2,419.7056666666667,111.28481727808301,393.881,81.45309159490613,-0.8885114478417065,False,False,high_in_GF,0.0302549131886077,0.03,True
Aqp4,16.333333333333332,4.35140133081018,7.999999999999999,5.394293760055443,-1.0114395118953048,False,False,high_in_GF,0.0474106410698832,0.05,True
Cuta,220.1293333333333,72.1142619863313,222.92277777777778,57.94362767115543,-0.6857336301585147,False,False,non_specific,0.2047859321289614,0.2,False
Serpina9,58.0,26.28687885618983,15.0,14.106735979665885,-1.8826430493618411,False,False,non_specific,0.0862217876126203,0.09,False
Cp,811.7013333333332,199.36827154054143,594.1508571428573,105.90976103455732,-0.670569101650811,False,False,high_in_GF,0.0275305137062931,0.03,False
Gpr27,9.0,1.7320508075688772,3.6666666666666665,2.309401076758504,-1.0995356735509143,False,False,high_in_GF,0.036611369221842,0.04,True
Acin1,113.2967037037037,73.16878570027447,159.40966666666668,64.49620160612,-1.74715204106351,False,False,high_in_GF,0.0202117188357134,0.02,True
Hnrnpu,572.1156000000001,209.20698350400775,625.9642666666666,136.76144640178902,-2.202365383299291,False,False,non_specific,0.0664250608554444,0.07,False
Cyth1,21.545066666666667,12.694398164763452,35.738,11.842093523605179,0.9859251962253246,False,False,high_in_SCFA,0.0206166022735436,0.02,False
Tecr,392.7094444444445,196.64657796860487,486.17066666666665,315.693476930489,-1.7798833823448543,False,False,non_specific,0.1204142336848839,0.12,False
Slc26a4,19.82033333333333,2.453332495470871,12.0,6.244997998398398,-0.6794815431020131,False,False,non_specific,0.1506254596594291,0.15,False
Phf14,137.736,32.494820063954954,151.30275,33.20956767864756,-1.8254808095120176,False,False,non_specific,0.0944839488568938,0.09,False
Hnrnpm,351.5457777777778,83.11850467151538,410.3256111111111,96.81666220840373,1.6820012425829332,False,False,high_in_SCFA,0.0243060385797091,0.02,False
Asap2,22.37075,16.73116453907805,28.083833333333335,20.54109245111641,-1.6720934392013156,False,False,non_specific,0.0609852749082768,0.06,False
Gfod2,106.06183333333334,23.55345433552439,99.66666666666666,23.55087572738663,-0.6331537246543587,False,False,non_specific,0.0791027660904926,0.08,False
Tcf7l2,5.444518518518517,3.6989593284146856,5.888814814814814,4.464769443662436,-1.3027055863920196,False,False,non_specific,0.1028930582842126,0.1,False
Fbxw8,220.8646666666667,97.5234831275695,351.291,71.15667754329175,0.6670876910483164,False,False,non_specific,0.1412590819894184,0.14,False
Cul5,32.333333333333336,16.016242937692045,46.79377777777777,23.84651351218149,0.6428694818322166,False,False,non_specific,0.1086648604596267,0.11,False
Chtf8,15.936999999999998,9.255080436325727,27.000000000000004,12.650728029689168,1.1754121560612871,False,False,non_specific,0.123655475817744,0.12,False
Tsku,168.66766666666666,32.7169273669355,257.834,51.706601783524704,0.6093154811096163,False,False,non_specific,0.0764655515179588,0.08,False
Gm6525,0.3333333333333333,0.5773502691896258,1.3333333333333333,0.5773502691896257,0.807354922057604,False,False,non_specific,0.1011915072182954,0.1,False
Azin1,95.51316666666665,30.80232378195648,124.37291666666667,29.342435641957564,1.149295651971517,False,False,non_specific,0.0711297609305822,0.07,False
Arhgef1,272.56542857142864,116.94236022448516,357.6888571428571,72.71822389905093,1.493135619645783,False,False,non_specific,0.0812546856641838,0.08,False
Actg1,2635.735583333333,822.0343349779932,3700.7190000000005,663.0139566991529,0.8177643199919816,False,False,non_specific,0.0971154089702398,0.1,False
Tsr3,213.0,33.51119216023208,263.66966666666667,36.16404402626084,0.3065820628944332,False,False,non_specific,0.1500909730809666,0.15,False
Haspin,16.666666666666668,7.505553499465135,29.666666666666668,5.507570547286102,0.7956415014938137,False,False,non_specific,0.0786255864883921,0.08,False
Pnkp,49.98291666666667,18.740034222969662,59.11433333333333,19.46974575608592,1.490970110622223,False,False,non_specific,0.1684830028170764,0.17,False
Gm42715,444.08433333333335,114.90686747953524,691.8349999999999,93.78945921407056,0.6800857755934148,False,False,high_in_SCFA,0.0481570813014967,0.05,True
Cdan1,73.83333333333333,37.39960311951307,89.0175,27.035510389870474,0.6997546521243314,False,False,non_specific,0.0765377571938946,0.08,False
Hikeshi,32.067,19.78697668209099,36.688599999999994,27.43039585543025,2.396951054443962,False,False,non_specific,0.0690673215710859,0.07,False
Extl2,24.006333333333334,26.17350011944079,22.5,12.316826044396919,2.007339046008162,False,False,non_specific,0.0707296777244348,0.07,False
Stk40,35.67622222222222,38.28550619365783,64.59777777777776,12.927392868261196,1.7631149215181343,False,False,non_specific,0.0534362856603042,0.05,False
Smpd4,24.933333333333334,16.44300394763768,32.714444444444446,12.674934074183772,2.8373496623554417,False,False,non_specific,0.1451327284899861,0.15,False
Upk3a,22.666666666666668,4.725815626252608,42.699000000000005,8.612479491993,0.884743741835478,False,False,high_in_SCFA,0.0365390908523121,0.04,True
Fbxo2,19.0,4.358898943540674,29.34233333333333,4.50883026220031,0.6013320334752297,False,False,high_in_SCFA,0.0461584955142571,0.05,True
Fam149a,108.00088888888888,25.423012281170486,120.03144444444445,21.274844822427823,-0.3215647637525503,False,False,non_specific,0.0632348459140481,0.06,False
Pusl1,49.0,22.71563338320109,71.66666666666667,7.76745346515403,0.5393656342810456,False,False,non_specific,0.2198889780768455,0.22,False
Sgms1,25.75633333333333,11.065773544353307,58.68141666666667,19.369050792614104,1.1630693419314293,False,False,non_specific,0.0664984403889932,0.07,False
Lratd1,7.333333333333334,4.806805880517198,15.685166666666667,3.8147062089970825,1.1445492146014598,False,False,high_in_SCFA,0.0343864444975838,0.03,True
Enpp2,158.67333333333335,89.94928151862578,179.8011666666667,71.7588092664783,1.3476482393521738,False,False,non_specific,0.1003577680621334,0.1,False
Rtn4r,7.666666666666667,3.214550253664318,17.333333333333332,6.8068592855540455,1.080919995383567,False,False,non_specific,0.1172907288878151,0.12,False
Uspl1,77.29622222222221,32.83577888510093,109.03872222222223,14.334129978250834,1.331708034677107,False,False,non_specific,0.074007661766089,0.07,False
Mapk13,116.16366666666669,5.874214028708152,158.0491111111111,33.4156435716371,0.4464603604106708,False,False,non_specific,0.1546113165103761,0.15,False
Csnk1d,107.7788888888889,34.75261630481453,177.66566666666662,44.13248786262742,0.7003710564378502,False,False,high_in_SCFA,0.0407626427592845,0.04,True
Epc1,54.88944444444445,26.509048081420115,79.90122222222222,72.40848922970267,0.9989377154348116,False,False,high_in_SCFA,0.040418650589546,0.04,True
Myo9b,97.16666666666666,47.428990007680234,136.97216666666668,18.796377976413773,0.7108414945378553,False,False,non_specific,0.095869709241726,0.1,False
Las1l,217.54399999999998,65.96944442163614,288.08616666666666,56.27141342824183,0.4565905212464055,False,False,non_specific,0.0931577120775909,0.09,False
Trabd,113.95733333333334,33.89158118176253,168.87577777777778,27.91715864588221,0.5510457576261872,False,False,non_specific,0.102395278811506,0.1,False
Kpna2,374.80066666666664,28.355179826852833,517.1198333333332,81.28927531477075,0.4722928951316602,False,False,non_specific,0.0732528069243983,0.07,False
Zfp821,83.1785,18.468857416496085,113.3945,22.02670518015064,0.6471486903086533,False,False,non_specific,0.0758688974190748,0.08,False
Gprc5a,1047.213,148.26480943568507,1938.4113333333332,407.22291421447954,0.8876869131655076,False,False,high_in_SCFA,0.049740050182525,0.05,True
Yif1b,82.03006666666667,42.285821516964916,87.43533333333333,45.484669936856484,1.9835024818824705,False,False,SCFA_specific_medium,0.05,0.05,False
9930104L06Rik,12.333333333333334,5.507570547286102,19.33333333333333,2.081665999466133,0.6088092426755238,False,False,non_specific,0.1470891947166879,0.15,False
Xab2,637.1756666666666,180.2475642008328,861.4263333333332,105.06854375279656,0.4344476296330157,False,False,non_specific,0.15328447470348,0.15,False
Mapk9,81.22233333333334,36.5653735545816,82.3458888888889,22.126060973449057,2.470167194661302,False,False,high_in_SCFA,0.0334554607827141,0.03,True
A4galt,132.33333333333334,41.86088070422472,279.3446666666667,72.56118098083391,1.0721641246657772,False,False,non_specific,0.0514239229033604,0.05,False
Pcnx3,102.5342666666667,40.838108799835155,146.31973333333335,28.1711981450069,0.6375168156609369,False,False,non_specific,0.0623649742138349,0.06,False
Zfp513,75.36244444444445,27.058994830594845,103.44477777777779,16.141769097407977,1.9513343710399969,False,False,high_in_SCFA,0.0256042265373221,0.03,True
Nt5c2,54.05699999999999,32.79130554663736,69.85022222222221,29.239123053755748,0.6639678756142945,False,False,non_specific,0.1420040443311278,0.14,False
Tmem8,58.11425,34.54507885755107,75.81241666666666,53.5471706759546,2.025929620454898,False,False,non_specific,0.0534570689801497,0.05,False
Kdf1,75.0,11.02178021904816,102.6685,15.277652854741792,0.4979739551842556,False,False,non_specific,0.0557632673923298,0.06,False
Vwa5b2,0.3333333333333333,0.39433756729740643,2.333333333333333,1.0408329997330663,1.15200309344505,False,False,SCFA_specific_low,0.05,0.05,False
Dicer1,335.776,74.06590665076611,492.4753333333333,50.628799436025865,0.5511886426200546,False,False,high_in_SCFA,0.0457425028772084,0.05,True
Nupl2,29.0,10.535653752852738,52.333333333333336,10.263202878893768,0.8300749985576877,False,False,non_specific,0.0515327711167455,0.05,False
Mettl21e,10.0,2.6457513110645907,36.334,14.04858241958953,1.7629865648805765,False,False,non_specific,0.0784455981767348,0.08,False
Adamts9,32.0,19.651467378766576,85.5,32.28279619212882,1.451945443934959,False,False,non_specific,0.0529569925601495,0.05,False
Bcar3,128.5005,68.47955576753583,233.8936666666667,12.055620269539565,0.8641632078122699,False,False,non_specific,0.1108584363675375,0.11,False
Fam214b,170.363,48.93394841007621,275.0316666666667,35.70179278878491,0.6877781418674727,False,False,high_in_SCFA,0.0450516976129158,0.05,True
Srsf11,67.12152380952382,22.05097407076998,116.15033333333335,29.857972189324787,1.3121306673680482,False,False,high_in_SCFA,0.0332723167424385,0.03,True
Crabp1,1.6666666666666667,1.5275252316519468,10.666666666666666,4.509249752822894,2.1292830169449664,False,False,non_specific,0.0620229285638508,0.06,False
Gkap1,131.33333333333334,31.464813901685133,138.04055555555556,21.2938653957131,2.076314904904593,False,False,high_in_SCFA,0.0343703578635835,0.03,True
Ssh3,58.205266666666645,54.4535956609354,81.62373333333335,18.371219525422923,1.2876578708196191,False,False,non_specific,0.1367489276638165,0.14,False
Preb,109.118,42.324908896943924,172.18491666666668,23.75583187781201,0.8511974142735049,False,False,non_specific,0.0619319618210825,0.06,False
Tcerg1,51.00075000000001,40.40800956326165,87.68375,26.526985311594455,1.9161730416224207,False,False,high_in_SCFA,0.0174165018391413,0.02,True
Scrn3,61.666666666666664,21.595044621359705,76.1935,8.286423410367137,0.4650179383770813,False,False,non_specific,0.1065558163551117,0.11,False
Rbm27,43.69716666666667,25.96075288623605,48.67283333333334,8.690098479495694,2.0097392079488845,False,False,high_in_SCFA; GF_specific_high,0.0167298056622724,0.02,True
Phkg2,75.27166666666668,18.49358401428272,91.02779999999998,8.11966784872815,2.076102979085792,False,False,SCFA_specific_low,0.05,0.05,False
Plekhh3,73.41766666666666,41.434914519789736,102.56025,33.811274092643885,1.6420421879890694,False,False,high_in_SCFA,0.0289213088722351,0.03,True
2310057M21Rik,69.66666666666667,17.21433511156714,88.33333333333333,11.930353445448857,0.3381687358945732,False,False,non_specific,0.2061064285209201,0.21,False
Traf7,69.35463333333333,26.309254665071272,89.71983333333336,9.963875408245977,0.9922686240724948,False,False,high_in_SCFA,0.0164279676043489,0.02,True
Proser2,65.0,14.730919862656236,114.33,18.71354322409308,0.8052299105660894,False,False,high_in_SCFA,0.025186792877461,0.03,True
Myh14,1035.79525,356.1313221755614,1685.9952499999997,117.30748616675393,0.4138323626554795,False,False,non_specific,0.0578318083963487,0.06,False
Rsc1a1,287.664,21.933420344305635,462.5496666666666,57.59121179775028,0.6833327268323306,False,False,high_in_SCFA,0.0229925356289513,0.02,True
Usp33,60.600066666666656,25.312877697352945,96.02786666666667,36.58616699878379,2.1503826769936096,False,False,high_in_SCFA,0.0178008225029788,0.02,True
Trafd1,112.32453333333333,42.47509333419024,131.41686666666666,34.758818707236635,0.5450052394262485,False,False,high_in_SCFA,0.036043638254043,0.04,True
Krt86,0.3333333333333333,0.5773502691896258,3.000666666666666,1.0010001665001524,1.5852029298594323,False,False,SCFA_specific_low,0.05,0.05,False
Marveld3,16.5,4.744874878226573,27.833333333333336,4.44304957273198,0.861928471484981,False,False,high_in_SCFA,0.0297398515561386,0.03,True
Llgl1,125.33383333333333,65.25934042643632,150.69366666666667,9.696575804547367,0.9166346333811256,False,False,GF_specific_medium,0.046202144311477,0.05,True
Inafm1,14.666666666666666,1.5275252316519468,29.666666666666668,6.8068592855540455,0.9689731043793756,False,False,non_specific,0.0561046030573677,0.06,False
Ercc5,430.657,44.30675475590602,723.212,132.34663315702443,0.7465266978250441,False,False,non_specific,0.0501370802277286,0.05,False
Klf9,52.01766666666666,15.401718616223754,146.17366666666666,39.52891954421892,1.4729744744782864,False,False,high_in_SCFA,0.040032904241493,0.04,True
B4galt3,88.424,20.09315085492201,129.32875,16.917858813074247,0.8642391449836295,False,False,high_in_SCFA,0.0092811976252543,0.01,True
Edc4,120.9206,56.12727916241939,171.76133333333334,35.89583465574768,3.1587385260112373,False,False,non_specific,0.0606523413514466,0.06,False
Clcn7,37.44444444444444,38.24048761716835,62.24433333333334,53.07532117596088,2.7514341937219564,False,False,high_in_SCFA,0.0129043437609583,0.01,True
Heatr1,100.50833333333335,20.916479630279124,162.59533333333331,25.913477095391606,0.6649188420592507,False,False,high_in_SCFA,0.0332648817867034,0.03,True
Zfp560,8.333333333333332,5.090247498055677,11.166666666666668,3.628042305505325,0.6109468206198384,False,False,high_in_SCFA,0.0209028508225312,0.02,True
Itgb1bp1,71.33333333333333,23.641499572838168,76.02411111111111,13.94901489735227,1.6911509671321374,False,False,non_specific,0.086649104458312,0.09,False
Ino80,94.66666666666669,30.369941279714936,171.66666666666666,14.6401275039985,0.851901361010866,False,False,high_in_SCFA,0.0310285544122281,0.03,True
Zfp956,24.333333333333332,7.270819374699856,44.12516666666667,6.326697993298289,0.8336407387417892,False,False,high_in_SCFA,0.0184364051451427,0.02,True
Bag6,368.05072222222225,162.3700418946962,479.4976666666666,117.9171150108765,1.1567266331863284,False,False,high_in_SCFA,0.0436245711600846,0.04,True
Jag2,111.83333333333331,53.46434761764301,243.79066666666665,16.02347180067621,1.105424791547222,False,False,high_in_SCFA,0.0438875604512644,0.04,True
Plaur,81.8447777777778,20.794980201784103,186.0392222222222,48.044469983707565,1.1767389227526917,False,False,high_in_SCFA,0.0454126591392329,0.05,True
Irf2bp2,385.6926666666666,103.78056795148758,678.0996666666666,100.3178753479824,0.8124359191188912,False,False,high_in_SCFA,0.0247446416329831,0.02,True
Urb1,167.774,35.31157406573657,288.04866666666663,4.662306868207348,0.7762197465895768,False,False,high_in_SCFA,0.0258556258976415,0.03,True
Stx1a,6.499999999999999,4.144674645326209,16.668833333333332,6.2361852154978115,1.770088540532432,False,False,high_in_SCFA,0.0340135740786586,0.03,True
Pwp1,121.0,26.514147167125703,178.5713333333333,26.608641083928607,0.5576759096473133,False,False,non_specific,0.0567091326903997,0.06,False
Tollip,19.88888888888889,8.962486202559978,28.727666666666668,11.963047839754802,0.4694548464412182,False,False,non_specific,0.0818061107668902,0.08,False
Ccl17,36.00066666666667,6.998857144801096,97.334,22.12100061027981,1.4101390645782106,False,False,high_in_SCFA,0.0313099681316936,0.03,True
Asb14,18.14026666666667,22.031657456981634,31.2012,10.008676210522323,2.3566419443303435,False,False,high_in_SCFA,0.0353640692989806,0.04,True
Ddb2,47.333333333333336,19.965312979701594,65.73883333333333,16.395110288982572,0.73418914011238,False,False,high_in_SCFA,0.0229752254492315,0.02,True
Setd2,126.93599999999999,53.248895872776714,160.48999999999998,37.32866552067505,1.530362686028858,False,False,high_in_SCFA,0.0357835087232704,0.04,True
Rnf25,154.6801111111111,33.07760783198065,222.80477777777776,25.826509514842538,0.516398606491116,False,False,non_specific,0.0507645662236116,0.05,False
Krt7,1964.6556666666668,446.40084983155367,3647.244666666667,339.8396322919582,0.8921918659586091,False,False,high_in_SCFA,0.0078715780537475,0.01,True
Smurf1,36.33655555555556,15.72242399656489,43.23488888888889,9.869279975506425,1.642334353386692,False,False,high_in_SCFA,0.044029724583396,0.04,True
Krt8,2826.5603333333333,459.1209466277197,3887.265333333333,716.2326123867394,0.4595688629260784,False,False,non_specific,0.1088512851900138,0.11,False
BC051142,2.8,2.0127726843520173,4.866866666666667,1.4451302188149058,1.1448877132170254,False,False,high_in_SCFA; SCFA_specific_low,0.03323307450302,0.03,True
Pex11b,26.332333333333338,20.665521652180907,41.311444444444454,6.018428589645705,0.9338817570127884,False,False,non_specific,0.0898375997107992,0.09,False
Zdhhc6,93.61855555555555,28.779114486428274,110.90866666666666,19.63188434983626,1.4694448846889812,False,False,non_specific,0.0854962476633561,0.09,False
Srrm1,133.02071428571426,53.57122770997029,207.41090476190476,41.918458869239196,1.1585606130174326,False,False,high_in_SCFA; SCFA_specific_low,0.0087735989678867,0.01,True
Fyttd1,28.703555555555557,14.145617033580464,43.22355555555555,9.70700640643201,0.8273746266626961,False,False,high_in_SCFA,0.0117236147024529,0.01,True
Tacc3,39.25041666666667,10.210222642265038,57.43533333333334,19.755652346832143,0.734822797487141,False,False,non_specific,0.1400003173191844,0.14,False
Foxp4,85.59639999999999,44.82331205589163,116.50093333333334,35.27381456697533,0.8813853228408747,False,False,non_specific,0.1041447280541422,0.1,False
Becn1,210.57216666666665,53.63678259920264,243.73708333333337,42.12680220805284,1.4391907325692022,False,False,high_in_SCFA,0.0301820688028699,0.03,True
Krt36,1.3333333333333333,0.5773502691896257,6.333333333333333,2.516611478423583,1.6520766965796934,False,False,non_specific,0.068388470034381,0.07,False
Phrf1,156.578,47.409730741513165,224.37033333333335,49.272021459320385,1.9286637664268025,False,False,high_in_SCFA,0.0132323813743471,0.01,True
F3,256.41833333333335,101.01258440937137,451.334,95.70336024392131,0.8537314060531935,False,False,non_specific,0.0672155148832428,0.07,False
Zfp341,18.0,18.339591850801547,21.83333333333333,5.05799696849784,2.6737717676790123,False,False,high_in_SCFA,0.0108534226393222,0.01,True
Gtf2ird2,71.33333333333333,29.67041174863155,131.02200000000002,12.250610270513056,0.8680458167734072,False,False,non_specific,0.057352148574566,0.06,False
2900026A02Rik,15.222222222222223,12.59223878666316,23.030333333333335,6.036566118507054,2.051338329164768,False,False,high_in_SCFA,0.0090121471804585,0.01,True
Arhgef6,19.666777777777778,12.266600218641296,20.777777777777775,5.805377944211933,2.358158612807728,False,False,high_in_SCFA,0.0135530477022182,0.01,True
Serpina3i,20.609333333333336,4.219062613108904,35.945,6.899901376106763,0.7737245640667598,False,False,high_in_SCFA,0.04008098710995,0.04,True
Saxo2,28.250000000000004,12.291975645311215,37.55525,12.276497833191044,1.4701185202196043,False,False,high_in_SCFA,0.0213231445871766,0.02,True
9030624G23Rik,17.953999999999997,4.453274862390598,27.471000000000004,4.111624861292673,0.5869908234915734,False,False,non_specific,0.0533714439249444,0.05,False
Sdccag8,119.33333333333333,18.702974760260762,137.366,7.973504628487605,1.4724350551893122,False,False,high_in_SCFA,0.0289795946311074,0.03,True
Rexo1,38.38927777777777,13.731914841839574,51.74827777777778,3.964871730573183,2.464275452480577,False,False,high_in_SCFA,0.0215705471105916,0.02,True
Erf,106.2,23.469012314653,176.45900000000003,24.74529414906337,0.7211797818549179,False,False,high_in_SCFA,0.0220211072969452,0.02,True
D930048N14Rik,1.9999999999999996,1.3597148960149936,5.000000000000001,0.968359571963723,1.443466651782564,False,False,high_in_SCFA,0.0059660067251665,0.01,True
Kmt5b,30.537799999999997,16.82135583931484,45.62953333333333,18.18946033656044,2.4022048110270497,False,False,high_in_SCFA,0.024545069364172,0.02,True
Fbxo31,140.07616666666667,32.903058584524935,340.2745,133.76673341412987,1.2671114034786,False,False,non_specific,0.1016851708512087,0.1,False
Klf15,61.334166666666675,12.123922775593336,189.34133333333335,50.42562083541168,1.693603874955408,False,False,high_in_SCFA,0.0399978086980172,0.04,True
Tsc22d3,160.636,28.85076030807222,457.32966666666664,137.63775510432745,1.4584412164412257,False,False,non_specific,0.0540544706140772,0.05,False
Cops7a,142.87066666666666,52.730501205620094,182.06722222222223,74.82662615372625,2.206194491657756,False,False,high_in_SCFA,0.0445184954265285,0.04,True
Tinf2,32.3284,10.734145482097066,46.626400000000004,4.461860779753009,0.4725780204899901,False,False,non_specific,0.1302287291427386,0.13,False
Pprc1,117.31955555555555,31.146645850080535,188.9102222222222,44.2829698446508,1.3598262985685086,False,False,high_in_SCFA,0.0425193049962427,0.04,True
